asset_tag,erp_asset_code,name,maintenance_category,asset_kind,serial_number,size,model,manufacturer_code,fa_subclass_code,operational_status,maintenance_status
L-NMD-634-2135,FA000165,"6 3/4"" NMDC",NMDC,asset,PST2135,"6 3/4""",,V00190,NMDC,ready_for_field,enrolled
L-NMD-800-8157,FA000166,"8"" NMDC",NMDC,asset,PST8157,"8""",,V00190,NMDC,ready_for_field,enrolled
L-NMD-658-1561,FA000167,"8"" NMDC PONY",PONY NMDC,asset,HEMO1561,"8""",,V00190,NMDC,ready_for_field,enrolled
L-NMD-912-4605,FA000168,"9 1/2"" NMDC PONY",PONY NMDC,asset,PST4605,"9 1/2""",,V00190,NMDC,ready_for_field,enrolled
L-DHT-278-9001,FA000169,"MegaPerf Tool Body 2-7/8"" EUE box x pin and accessories",MEGAPERF,asset,TB-90-01,"2 7/8""",,V00280,DHT,ready_for_field,enrolled
L-MTR-000-0001,FA000170,"8"" STRAIGHT HOUSING",MOTOR,asset,F80-22-M40A-001,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-0002,FA000171,"8"" STRAIGHT HOUSING",MOTOR,asset,F80-22-M40A-002,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-700-0003,FA000172,"8 "" SERVICE SUB, 7.000"" AM PIN X 6.995"" MOD IF BOX",MOTOR,asset,SS80-22-M40-003,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-700-0004,FA000173,"8"" SERVICE SUB, 7.000"" AM PIN X 6.995"" MOD IF BOX",MOTOR,asset,SS80-22-M40-004,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-0030,FA000174,"8"" MOTOR ASSEMBLY M40",MOTOR,asset,M40-800-0030,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-0033,FA000175,"8"" MOTOR ASSEMBLY M40",MOTOR,asset,M40-800-0033,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-STR-000-6193,FA000176,"8"" STATOR S800784.0 L3-STD-NBR HPW (W3367)",MOTOR,component,4-C41619-3,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-8002,FA000177,"8"" STATOR S800784.0 L3-STD-NBR HPW (W3367)",MOTOR,component,4-C41800-2,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-2000,FA000178,"8"" ROTOR R800784.0-SLD-2.125-6 SA:WC",MOTOR,component,4-B02000,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-2001,FA000179,"8"" ROTOR R800784.0-SLD-2.125-6 SA:WC",MOTOR,component,4-B02001,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-2910,FA000180,"8"" STATOR S800784.0 L3-STD-NBR HPW (P19290/1-W1309)",MOTOR,component,4-C42029-10,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-0299,FA000181,"8"" STATOR S800784.0 L3-STD-NBR HPW- (W1309)",MOTOR,component,4-C42029-9,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-6195,FA000182,"9 5/8"" STATOR S962785.7-STD-NBR HPW (35394)",MOTOR,component,4-C41619-5,"9 5/8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-8008,FA000183,"9 5/8"" STATOR S962785.7-STD-NBR HPW (R60577)",MOTOR,component,4-C41800-8,"9 5/8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-GYR-000-0042,FA000184,GYRO TRACER 150°C,GYRO,asset,HT-042,,,,GYRO,ready_for_field,enrolled
L-NMD-434-5900,FA000185,"4 3/4"" NMDC",NMDC,asset,PST5900,"4 3/4""",,V00410,NMDC,ready_for_field,enrolled
L-NMD-634-5910,FA000186,"6 3/4"" NMDC",NMDC,asset,DPST5910,"6 3/4""",,V00410,NMDC,ready_for_field,enrolled
L-NMD-800-5497,FA000187,"8"" NMDC",NMDC,asset,TPST5497,"8""",,V00410,NMDC,ready_for_field,enrolled
L-NMD-434-1939,FA000188,"4 3/4"" NMDC",NMDC,asset,PST1939,"4 3/4""",,V00410,NMDC,ready_for_field,enrolled
L-NMD-434-4115,FA000189,"4 3/4"" NMDC PONY",PONY NMDC,asset,PST4115,"4 3/4""",,V00410,NMDC,ready_for_field,enrolled
L-RTM-000-3929,FA000190,"EDR Data Acquisition System (DAQ), Links EDR software for surface parameters",EDR,asset,93929,,,V00210,RTM,ready_for_field,enrolled
L-RTM-000-3930,FA000191,"EDR Data Acquisition System (DAQ), Links EDR software for surface parameters",EDR,asset,93930,,,V00210,RTM,ready_for_field,enrolled
L-MTR-958-5865,FA000203,"9 5/8"" MOTOR ASSEMBLY NOV",MOTOR,asset,15865,"9 5/8""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-600-6081,FA000204,"16"" Stabilizer Sleeve",MOTOR,asset,16081,"16""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-958-5871,FA000205,"9 5/8"" MOTOR ASSEMBLY NOV",MOTOR,asset,15871,"9 5/8""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-600-6082,FA000206,"16"" Stabilizer Sleeve",MOTOR,asset,16082,"16""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-958-5763,FA000207,"9 5/8"" MOTOR ASSEMBLY NOV",MOTOR,asset,15763,"9 5/8""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-600-6758,FA000208,"16"" Stabilizer Sleeve",MOTOR,asset,16758,"16""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-5580,FA000209,"6 3/4"" MOTOR ASSEMBLY NOV",MOTOR,asset,15580,"6 3/4""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6088,FA000210,"8 3/8"" Stabilizer Sleeve",MOTOR,asset,16088,"8 3/8""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-5872,FA000211,"6 3/4"" MOTOR ASSEMBLY NOV",MOTOR,asset,15872,"6 3/4""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6089,FA000212,"8 3/8"" Stabilizer Sleeve",MOTOR,asset,16089,"8 3/8""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-5579,FA000213,"6 3/4"" MOTOR ASSEMBLY NOV",MOTOR,asset,15579,"6 3/4""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6090,FA000214,"8 3/8"" Stabilizer Sleeve",MOTOR,asset,16090,"8 3/8""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-500-0504,FA000215,"5"" MOTOR ASSEMBLY Dynomax",MOTOR,asset,RAD 504,"5""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-578-9704,FA000216,"5 7/8"" Stabilizer",MOTOR,asset,DM113997-04,"5 7/8""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-500-0506,FA000217,"5"" MOTOR ASSEMBLY Dynomax",MOTOR,asset,RAD 506,"5""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-MTR-600-9702,FA000218,"6"" Stabilizer",MOTOR,asset,DM11397-02,"6""",,V00470,MUD MOTOR,ready_for_field,enrolled
L-CMP-000-0459,FA000219,Hydraulic Setting Tool size 20,COMPLETION,asset,300459,,,V00260,COMPLETION,ready_for_field,enrolled
L-MTR-912-6003,FA000220,"9 1/2"" STABILIZER",MOTOR,asset,WZL-0196-003,"9 1/2""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-0221,FA000221,THRUST HOUSING,MOTOR,asset,,,,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-0222,FA000222,"STATIONARY FLOW RESTRICTOR, UPPER",MOTOR,asset,,,,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-0223,FA000223,ROTATING FLOW RESTRICTOR,MOTOR,asset,,,,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-0224,FA000224,"STATIONARY FLOW RESTRICTOR, LOWER",MOTOR,asset,,,,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6701,FA000225,"8 3/8"" SLEEVE STABILIZER",MOTOR,asset,8416701,"8 3/8""",,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6702,FA000226,"8 3/8"" SLEEVE STABILIZER",MOTOR,asset,8416702,"8 3/8""",,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6703,FA000227,"8 3/8"" SLEEVE STABILIZER",MOTOR,asset,8416703,"8 3/8""",,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6704,FA000228,"8 3/8"" SLEEVE STABILIZER",MOTOR,asset,8416704,"8 3/8""",,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-838-6705,FA000229,"8 3/8"" SLEEVE STABILIZER",MOTOR,asset,8416705,"8 3/8""",,V00550,MUD MOTOR,ready_for_field,enrolled
L-MTR-912-6004,FA000230,"23 3/4"" STABILIZER",MOTOR,asset,WZL-0196-004,"23 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-6502,FA000231,"8"" MOTOR ASSEMBLY M40 WENZEL",MOTOR,asset,WZL-0265-02,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-6503,FA000232,"8"" MOTOR ASSEMBLY M40 WENZEL",MOTOR,asset,WZL-0265-03,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-6504,FA000233,"8"" MOTOR ASSEMBLY M40 WENZEL",MOTOR,asset,WZL-0265-04,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-218-0234,FA000234,"12 1/8"" SPIRAL STABILIZER",MOTOR,asset,,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-912-6501,FA000235,"17 1/4"" STABILIZER",MOTOR,asset,WZL-0265-01,"17 1/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-WRL-000-0237,FA000237,MONOCONDUCTOR WIRELINE SKID MOUNTED UNIT,WIRELINE,asset,,,,V0044,WIRELINE,ready_for_field,enrolled
L-WRL-200-0238,FA000238,"7/32"" CABLE FOR WIRELINE UNIT",WIRELINE,asset,,"7/32""",,V0044,WIRELINE,ready_for_field,enrolled
L-MTR-000-0239,FA000239,"2 7/8"" Bearing Assembly Superhawk High Pull",MOTOR,asset,,"2 7/8""",,V01480,MUD MOTOR,ready_for_field,enrolled
L-JAR-434-5522,FA000240,"3/4"" JAR HYDRAULIC JAR, DOUBLE ACTING",JAR,asset,BDA25522,"3/4""",,V0043,JARS,ready_for_field,enrolled
L-JAR-612-7647,FA000241,"6 1/2"" JAR HYDRAULIC JAR, DOUBLE ACTING",JAR,asset,BD17647,"6 1/2""",,V0043,JARS,ready_for_field,enrolled
L-JAR-800-0242,FA000242,"8"" JAR HYDRAULIC JAR, DOUBLE ACTING",JAR,asset,HJDA800-0076,"8""",,V0043,JARS,ready_for_field,enrolled
L-RTR-800-0050,FA000243,"8"" MOTOR ASSEMBLY M40 WENZEL",MOTOR,component,M40-800-0050,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-STR-000-0291,FA000244,"4 3/4"" STATOR S475783.8-1.5OS-NBR HPW (B11235)",MOTOR,component,4-C42029-1,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-0245,FA000245,"3 1/8"" Bearing Assembly Superhawk",MOTOR,asset,,"3 1/8""",,V01480,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-2451,FA000247,"6 3/4"" ROTOR R675785.0-SLD-1.375-6 SA:WC",MOTOR,component,4-B02451,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-0297,FA000248,"8"" STATOR S800784.0 L3-STD-NBR HPW (W1309)",MOTOR,component,4-C42029-7,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-2446,FA000249,"8"" ROTOR R800784.0-SLD-2.125-6 SA:WC",MOTOR,component,4-B02446,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-2911,FA000250,"9 5/8"" STATOR S962785.7-STD-NBR HPW (R60382)",MOTOR,component,4-C42029-11,"9 5/8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-JAR-800-2333,FA000251,"8"" JAR HYDRAQUAKER",JAR,asset,OSC142333A,"8""",,V00760,JARS,ready_for_field,enrolled
L-MTR-000-0252,FA000252,Bearing Assembly Superhawk,MOTOR,asset,,,,V01480,MUD MOTOR,ready_for_field,enrolled
L-MEQ-000-3701,FA000253,Column Jib Crane Lifting Capacity: 1.000 kg,MACHINE,asset,424337/01,,,V00260,MACHEQ,ready_for_field,enrolled
L-MEQ-000-0001,FA000254,Column Jib Crane Lifting Capacity: 500 kg,MACHINE,asset,20077471-0001,,,V00260,MACHEQ,ready_for_field,enrolled
L-MEQ-000-2072,FA000255,Hanging Jib Crane Lifting Capacity: 500 kg,MACHINE,asset,062072,,,V00260,MACHEQ,ready_for_field,enrolled
L-MEQ-000-0256,FA000256,Grinding Machine incl. Accessories *2ndH,MACHINE,asset,,,,V00260,MACHEQ,ready_for_field,enrolled
L-HOP-000-3603,FA000257,Single Stage Holeopener,BIT,asset,OWS-HO-3603,,,V00240,HOLEOPENER,ready_for_field,enrolled
L-WHP-618-0258,FA000258,"6 1/8"" Keyhole Whipstock Mill",WHIPSTOCK,asset,,"6 1/8""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-618-0259,FA000259,"6 1/8"" Window Mill",WHIPSTOCK,asset,,"6 1/8""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-618-0260,FA000260,"6 1/8"" Watermelon Mill",WHIPSTOCK,asset,,"6 1/8""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-618-0261,FA000261,"6 1/8"" Taper Mill",WHIPSTOCK,asset,,"6 1/8""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-618-0262,FA000262,"6 1/8"" String Mill",WHIPSTOCK,asset,,"6 1/8""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-700-0263,FA000263,"Running Tool for 7"" Casing Whipstock System",WHIPSTOCK,asset,,"7""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-700-0264,FA000264,"Die Collar for 7"" Casing Whipstock System",WHIPSTOCK,asset,,"7""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-700-0265,FA000265,"Retrieval Hook for 7"" Casing Whipstock System",WHIPSTOCK,asset,,"7""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-700-0266,FA000266,"False Rotary Table for 7"" Casing Whipstock System",WHIPSTOCK,asset,,"7""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-700-0267,FA000267,"Setting Valve for 7"" Casing Whipstock System complete assy.",WHIPSTOCK,asset,,"7""",,,WHIPSTOCK,ready_for_field,enrolled
L-WHP-000-0268,FA000268,Ditch Magnet,WHIPSTOCK,asset,,,,,WHIPSTOCK,ready_for_field,enrolled
L-STR-000-0292,FA000269,"4 3/4"" STATOR S475783.8-1.5OS-NBR HPW (B11238)",MOTOR,component,4-C42029-2,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-2454,FA000270,"4 3/4"" ROTOR R475783.8-SLD-1.375-6SA:WC-3.13HD",MOTOR,component,4-B02454,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-8001,FA000271,"8"" STATOR S800784.0 L3-STD-NBR HPW (W3367)",MOTOR,component,4-C41800-1,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-2445,FA000272,"8"" ROTOR R800784.0-SLD-2.125-6 SA:WC",MOTOR,component,4-B02445,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-1666,FA000273,"8"" ROTOR R800784.0-SLD-2.125-6 SA:WC",MOTOR,component,4-B01666,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-0294,FA000274,"6 3/4"" STATOR S675785.0-1OS-NBR HPW (R63258)",MOTOR,component,4-C42029-4,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-0295,FA000275,"6 3/4"" STATOR S675785.0-1OS-NBR HPW (R63258)",MOTOR,component,4-C42029-5,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-0298,FA000276,"8"" STATOR S800784.0 L3-STD-NBR HPW (W1309)",MOTOR,component,4-C42029-8,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-8005,FA000277,"8"" STATOR S800784.0 L3-STD-NBR HPW (W3863)",MOTOR,component,4-C41800-5,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-8006,FA000278,"8"" STATOR S800784.0 L3-STD-NBR HPW (W3863)",MOTOR,component,4-C41800-6,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-MWD-000-0279,FA000279,"4 3/4"" Sub Flow 4.75 OD, 2.69 ID, 42 LG, NC38 B/P - SST/APS Spec-10020 (P530 or Equiv)",SUB FLOW / MWD,asset,,"4 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MTR-800-6006,FA000280,"12 1/8"" STABILIZER",MOTOR,asset,WZL-160-06,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-9001,FA000281,"8 3/8"" STABILIZER",MOTOR,asset,WZL-0279-001,"8 3/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-0034,FA000282,"6 3/4"" MOTOR ASSEMBLY WENZEL",MOTOR,asset,M7-675-0034,"6 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-9005,FA000283,"12 1/8"" STABILIZER",MOTOR,asset,WZL-0279-005,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-9006,FA000284,"12 1/8"" STABILIZER",MOTOR,asset,WZL-0279-006,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-9007,FA000285,"12 1/8"" STABILIZER",MOTOR,asset,WZL-0279-007,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-9008,FA000286,"12 1/8"" STABILIZER",MOTOR,asset,WZL-0279-008,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-800-9009,FA000287,"12 1/8"" STABILIZER",MOTOR,asset,WZL-0279-009,"12 1/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-9002,FA000288,"8 3/8"" STABILIZER",MOTOR,asset,WZL-0279-002,"8 3/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-9003,FA000289,"8 3/8"" STABILIZER",MOTOR,asset,WZL-0279-003,"8 3/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MTR-634-9004,FA000290,"8 3/8"" STABILIZER",MOTOR,asset,WZL-0279-004,"8 3/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MWD-000-0291,FA000291,"4 3/4"" Sub Flow 4.75 OD, 2.69 ID, 42 LG, NC38 B/P - SST/APS Spec-10020 (P530 or Equiv)",SUB FLOW / MWD,asset,,"4 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MTR-000-3351,FA000292,"4 3/4"" STATOR S475239.0-1OS-NBR HPW",MOTOR,asset,4-C42335-1,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-MTR-000-3352,FA000293,"4 3/4"" ROTOR 2R500239.0-SLD-2.750 HEAD-1.375 SA:WC",MOTOR,asset,4-C42335-2,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-800-0051,FA000294,"8"" MOTOR ASSEMBLY M40 WENZEL",MOTOR,component,M40-800-0051,"8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-MWD-000-3022,FA000295,"Pulser Assy G5.2, Fixed 3.44 Valve, 150-450 gpm, Fin Centralizer, 150°C, 20Kpsi",MWD / APS,asset,3022,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2983,FA000296,"Pulser Assy G4.2, Fixed 4.125 Valve, 400-800 gpm, Fin Centralizer, 150°C, 20Kpsi",MWD / APS,asset,2983,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2722,FA000297,"Pulser Assy G4.2, Fixed 5.25 Valve, 400-800 gpm, Fin Centralizer, 150°C, 20Kpsi",MWD / APS,asset,2722,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4054,FA000298,"Battery Module Assy, Fin Ctrlzr, 25K (No Battery Installed",MWD / APS,asset,4054,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1509,FA000299,"Sensor ASSEMBLY, Directional, Fin Centralizer Ready, 150°C, 20Kpsi",MWD / APS,asset,1509,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1152,FA000300,"Gamma Module Assy, Fin Centralizer Ready, 150°C, 20Kpsi",MWD / APS,asset,1152,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1178,FA000301,"Surface System - Lite, SIU2, LWD with DTS, 1.0in to 1.5in drill line",MWD / APS,asset,1178,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0193,FA000302,"Kit, Laversab Rig Floor Display (RFD), wireless",MWD / APS,asset,193,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-010-0021,FA000303,"Transport Container, MWD, 10ft (3.0m)",MWD / APS,asset,APS-MWD-RNT-021,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0024,FA000304,Fixed Mount MWD Rig Tooling Kit (All MWD Sizes except 2.50in),MWD / APS,asset,024,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-9205,FA000305,"4 3/4"" Sub Flow 4.75 OD, 2.69 ID, 42 LG, NC38 B/P - SST/APS Spec- 10020 (P530 or Equiv)",SUB FLOW / MWD,asset,375192-05,"4 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-6102,FA000306,"6 3/4"" Sub Flow 6.75 OD, 3.25 ID, 42 LG, NC50 B/P - SST/APS Spec- 10020 (P530 or Equiv)",SUB FLOW / MWD,asset,374661-02,"6 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0307,FA000307,"8"" Sub Flow, 8.00 OD, 3.50 ID, 42 LG, 6-5/8 REG B/P - SST/APS Spec- 10020 (P530 or Equiv)",SUB FLOW / MWD,asset,,"8""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2765,FA000308,"Pulser Assy G4.2, Fixed 4.125 Valve, 400-800 gpm, Fin Centralizer, 150°C, 20Kpsi",MWD / APS,asset,2765,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2980,FA000309,"Pulser Assy G4.2, Fixed 5.25 Valve, 400-800 gpm, Fin Centralizer, 150°C, 20Kpsi",MWD / APS,asset,2980,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4158,FA000310,"Battery Module Assy, Fin Ctrlzr, 25K (No Battery Installed",MWD / APS,asset,4158,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4333,FA000311,"Battery Module Assy, Fin Ctrlzr, 25K (No Battery Installed",MWD / APS,asset,4333,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0942,FA000312,"Battery Module Assy, Fin Ctrlzr, 25K (No Battery Installed",MWD / APS,asset,942,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1796,FA000313,"Sensor ASSEMBLY, Directional, Fin Centralizer Ready, 150°C, 20Kpsi",MWD / APS,asset,1796,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1043,FA000314,"Gamma Module Assy, Fin Centralizer Ready, 150°C, 20Kpsi",MWD / APS,asset,1043,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1232,FA000315,"Surface System - Lite, SIU2, LWD with DTS, 1.0in to 1.5in drill line",MWD / APS,asset,1232,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MTR-000-0316,FA000316,"LAPTOP Software Suite, SureShot, SSCC, ADS, Plot, MMI",MWD / APS,asset,,,,V0049,MUD MOTOR,ready_for_field,enrolled
L-MWD-000-0317,FA000317,"LAPTOP Software Suite, SureShot, SSCC, ADS, Plot, MMI",MWD / APS,asset,,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0207,FA000318,"Kit, Laversab Rig Floor Display (RFD), wireless",MWD / APS,asset,207,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-9208,FA000319,"4 3/4"" Sub Flow 4.75 OD, 2.69 ID, 42 LG, NC38 B/P - SST/APS Spec- 10020 (P530 or Equiv)",SUB FLOW / MWD,asset,375192-08,"4 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4204,FA000320,"6 3/4"" Sub Flow 6.75 OD, 3.25 ID, 42 LG, NC50 B/P - SST/APS Spec- 10020 (P530 or Equiv)",SUB FLOW / MWD,asset,373614-2-04,"6 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0321,FA000321,"8"" Sub Flow 8.00 OD, 3.50 ID, 42 LG, 6-5/8 REG B/P - SST/APS Spec- 10020 (P530 or Equiv)",SUB FLOW / MWD,asset,,"8""",,V0049,MWD/LWD,ready_for_field,enrolled
L-JAR-434-5523,FA000322,"4 3/4"" JAR HYDRAULIC JAR, DOUBLE ACTING",JAR,asset,BDA25523,"4 3/4""",,V0043,JARS,ready_for_field,enrolled
L-JAR-612-0874,FA000323,"6 1/2"" JAR HYDRAULIC JAR, DOUBLE ACTING",JAR,asset,BD20874,"6 1/2""",,V0043,JARS,ready_for_field,enrolled
L-JAR-800-0076,FA000324,"8"" JAR HYDRAULIC JAR, DOUBLE ACTING",JAR,asset,HJDA800-0076,"8""",,V0043,JARS,ready_for_field,enrolled
L-SHK-612-0021,FA000325,"6 1/2"" SHOCK TOOL, SERIES 6",SHOCK SUB,asset,ST650-0021,"6 1/2""",,V0043,SHOCK SUBS,ready_for_field,enrolled
L-SHK-800-0060,FA000326,"8"" SHOCK TOOL, SERIES 7",SHOCK SUB,asset,ST800-0060,"8""",,V0043,SHOCK SUBS,ready_for_field,enrolled
L-STR-000-2201,FA000327,"4 3/4"" STATOR S475783.8-1.5OS-NBR HPW S (R62843)",MOTOR,component,4-C42220-1,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-2202,FA000328,"4 3/4"" STATOR S475783.8-1.5OS-NBR HPW (R62843)",MOTOR,component,4-C42220-2,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-MTR-278-0329,FA000329,"2 7/8"" Fixed Bent Housing",MOTOR,asset,,"2 7/8""",,V01450,MUD MOTOR,ready_for_field,enrolled
L-MTR-318-0330,FA000330,"3 1/8"" Fixed Bent Housing",MOTOR,asset,,"3 1/8""",,V01450,MUD MOTOR,ready_for_field,enrolled
L-JAR-318-8013,FA000331,"3 1/8"" JAR Rapid Thru Tubing Jar Hydraulic Jar, 2-3/8"" REG PXB Std",JAR,asset,HJ318-013,"3 1/8""",,V01450,JARS,ready_for_field,enrolled
L-RTR-000-2203,FA000332,"4 3/4"" ROTOR R475783.8-SLD-1.375-6SA:WC-3.13HD",MOTOR,component,4-C42220-3,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-2204,FA000333,"4 3/4"" ROTOR R475783.8-SLD-1.375-6SA:WC-3.13HD",MOTOR,component,4-C42220-4,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
